id_comentario	comentario	rotulo_manual	posicao-gpt	BERT
20	se os jornalistas parassem de fumar tanto baseado a violencia nos morros diminuiria pela metade	0	0	0
24	eita que os defensores da pm genocida tao a mil	-1	-1	-1
24	nao se sabe a origem do tiro e nem a circunstancias	0	0	0
18	eram 22cidadaos a que em nada tinham haver com os problemas sejam emocionaismentaisdrogascriminais de 1cidadao que resolve colocar em risco eminente a vida de cidadaos a que sairam de suas casas para tomar o onibus seguirem para seus trabalhosconslutas medicas procurar emprego passear lazer e tem toda sua rotina e vida mudada por uma decisao de sequestro  portanto no que cabe a preservacao da vida de cidadaos a inocentes todos os metodos devem ser estudados e utilizados sempre pensando em salvar vidas inocentes  	1	1	1
18	nao acompanhei a acao da policia mas creio que primeiro estudaram a situacao avaliaram os riscos tentaram negociar pra so entao partir para uma decisao mais radical de abater o sequestrador esse seria o ultimo recurso	1	1	1
20	pelo que se entende nos comentarios abaixo a policia nao deve entrar nas comunidades estas pertencem aos traficantes e nao ha nenhum comentario reclamando da acao dos traficantes eles podem andar armados ate os dentes podem traficar as drogas que quiserem e podem ameacar moradores mas sao bem tratados pelos moradores que os respeitam porem se a policia entra na area deles reagem e se acontece de alguem ficar ferido ou perder a vida a culpa e da policia do governador do estado nunca nunca dos traficantes	1	1	1
22	tem toda a diferenca assista mindhunter e uma boa introducao a topico	0	0	0
22	parabens a policia	1	1	1
26	sobre o policial morto algo a dizer algum lamento uma palavra de conforto familia	1	1	1
24	vc quer que eu te de uma aula sobre descriminalizacao de ilicitos via tt num da ne meu bom faz seu corre da uma pesquisada	0	0	0
21	se saber ser policia e so sobre saber matar pobre e nunca atender qdo a populacao precisa como ja aconteceu comigo inumeras vezes nao sei ser mesmo sou mto competente na minha profissao	-1	-1	-1
23	vc esta cego pela raiva ou algo do tipo	0	0	0
21	filho de uma puta acha bonito a porcos militares maltratar uma negra babaca	-1	-1	-1
22	uma policia burra nao protege uma sociedade piora pra quantidade de pm envolvido ta na cara que esse maluco estava trabalhando pra alguem grande que estava com muito medo que ele fosse pego vivo	-1	-1	-1
18	os humanos direitos ja foram liberados agora a esquerda vai cair em cima da policia	1	1	1
26	ratos indo pra vala lamento pelo policial	1	1	1
23	ah vai tomar no seu cu porra	0	0	0
22	infelizmente a secretaria de seguranca publica de goias e seus agentes militares e civis neste caso do lazaro mostraram uma pessima qualidade e eficiencia demoraram duas semanas para pegar o suspeito gastaram rios de dinheiro e ainda trouxeram ele morto	-1	-1	-1
18	pobres coitados sao as vitimas n os bandidos	1	1	1
22	hbomax dance on my own star wars feliz aniversario elon musk logan frozen lil nas x faz o l cuca fora cuca foracuca pride ralph tulla luana moana stalin	0	0	0
26	o tiro na cabecinha continua com outro legado o genocidio continua com castro	-1	-1	-1
18	penso diferente assim antes de sequestrar o meliante vai pensar primeiro que vai ser abatido entao nem sair pra praticar o delito	1	1	1
18	li  first class e boa viagem no parabrisas do onibus e isso mesm	0	0	0
21	eu pago imposto pra pagar salario de traficante agora a merda e q eu ligo na policia e ngm vem pq ne pedir demais	-1	-1	-1
21	ela portava uma arma de fogo municiada municoes extras e touca ninja a materia e tendenciosa mas esta completinho	1	1	1
18	meus deus que realidade cruel que os passageiros fiquem bem	0	0	0
26	operacao foi um sucesso 24 vagabundos de ralo onirico pesar e pela vida do policial que foi brutalmente atacado	1	1	1
22	agora a tv record sai do ar	0	0	0
18	dava para neutralizar o ataque sem precisar de forca extrema porem a policia e assassina e precisa de sangue	-1	-1	-1
22	250 policiais levaram 20 dias para prender um meliante pe de chinelo e ainda comemoram dois policiais baianos foram mais que suficientes para eliminar o cap adriano m nobrega instrutor da tropa de elite do rj fortemente armado no sertao da ba nenhum comemorou	-1	-1	-1
20	sera que os defensores dos policiais que matam em servico e que nao cansam de repetir bandido bom e bandido morto vao ter coragem de aparecer nesse velorio	-1	-1	-1
20	esse governador e presidente neonazistas facinoras tem que ser presos e julgados por genocidio no tribunal penal internacional	-1	-1	-1
18	daqui a pouco chega a turma dos direitos humanos para falar que p estado mata e que o meliante foi morto por ser preto	-1	-1	-1
20	se e verdade isto sobre curso superior acabo vendo que o caminho nao e o ensino	0	0	0
18	perigoso eram as pessoas dentro do onibus que em sua maioria estava indo para o trabalho	1	1	0
23	eu tambem nao entendo porque insisto deixa pra la voce nao entendeu o que eu falei	0	0	0
22	lazaro barbosa foi sem rodeios direto p o inferno	1	1	1
20	os casos de mortes resultantes de acoes policiais no rj sao alarmantes agatha e a quinta crianca morta neste ano ao menos 16 criancas ja foram baleadas uma politica de seguranca publica eficiente deve se pautar pelo respeito a dignidade e a vida humana	-1	-1	-1
18	falou a especialista em filmes	0	0	0
24	liberacao as drogas ja liberando isso td acaba	0	0	0
18	qual sua opiniao sobre os fatos a cerca dessa reportagens nobre 	0	0	0
18	queiroz esta num centro espirita invocando marisa para saber como ser milionario vendendo avon seletivamente esquecem de outros os principais envolvidos em valores queiroz movimentou 12 milhao ceciliano do pt movimentou cerca de 50 milhoes sem contar outros da esquerda que elevariam para 150 milhoes incluso psol psb pdt etc mas o vies ideologico	0	0	0
18	vou dar chance de voce repensar essa comparacao se teus filhos estivessem naquele onibus sera que voce estaria pensando na vo da michele	-1	-1	-1
18	parabens witzel	1	1	1
18	a policia agiu de modo equivocado demorou 3 horas para fazer um servico que no maximo poderia levar 15 minutos	-1	-1	-1
21	policia bandida	-1	-1	-1
25	quer dizer entao q validacao basta 80 tiros stm decide soltar militares presos por mortes de musico e catador tribunal aprova com ressalvas contas de campanha de jair bolsonaro o estado validou deixou de ser crime fraude serio	0	0	-1
24	vale pra policiais tmb lol  rio de janeiro e maioritariamente negro	0	0	0
18	a atitude do governador foi simplesmente patetica	-1	-1	-1
21	por que ele teria que levar ela pra casa tu leva pm pra casa	0	0	0
18	no twitter nao sei mas em qquer site pelo celular sim inclusive ele estava vendo as noticias do sequestro pelo celular	0	0	0
23	assassinato joaopedro joaopedropresente vidasnegrasimportam paremdenosmatar porquelutamos eles nao socorreram o outro menino que levou ele meu sobrinho nao vai se passar por bandido para encobrir erro de policia nenhum tia do joao pedro	-1	-1	-1
18	so pra ressaltar algo que quase nunca e ou foi levado em consideracao o estado deve sempre tutelar a vidapor isso o projeto do moro e mediocre sob um vies juridico detentos sendo mortos e cruel por isso e proibido eutanasia incitacao ao suicidio etc a forca militar num enfrentamento com civis independentemente se for uma luta armada civil ou uma batida policial deve sempre tutelar a vida e bom escrever em letras garrafais pois a gente ta vendo o pais flertar constantemente com a diminuicao do valor da vida principalmente daqueles que detem a legalidade e todo o aparato para usar a forcaviolenciaa historia mostra que as forcas armadas brasileiras menosprezam o que deveria ser primordial exemplos sao varios inclusive em gritos de ordem dessas corporacoes	-1	-1	-1
18	triste me pergunto se precisavam ter matado	-1	-1	-1
18	o q tem a ver com a materia	0	0	0
18	cada um esta em um cinco estrelas nao deu tempo	0	0	0
20	se aprovado o pl 95642018 do entao deputado jair bolsonaro nesse tipo de ocorrencia o policial estara isento de punicao por ter agido no estrito cumprimento do dever legal isso mostra o que passa na cabeca deste senhor e o perigo que corre o brasil nas maos de um lunatico deste calibre	-1	-1	-1
18	cade os petistas que defendem a compra de jatinhos 	0	0	0
21	calma os especial de twitter estao falando esse deve ser formado	0	0	0
23	uma coisa e o plano do deverser outra bem diferente e a pratica e a realidade vivida pelas pessoas social e economicamente marginalizadas	0	0	0
18	no cumprimento do dever servico bem feito nenhum dano colateral	1	1	1
22	lazaro morreu so espero que ele nao remove tumulo lazaro lazarobarbosa	1	1	1
20	e preciso lembrar q o eleitor que votou nestes governantes q tinham como proposta  bandido bom e bandido morto eii voce esta participando dessas barbaridades 	-1	-1	-1
18	parabens governador este nunca mais assalta ninguem 	1	1	1
22	parabens por levar 20 dias pra achar um maluco	-1	-1	1
24	alguma acaba logo com esse ano maldito por favor	0	0	0
24	parece q estao e mirando nas criancas pq nao e possivel gente	-1	-1	-1
24	e fake news quando vc diz que toda a instituicao da pm e assassina quando algum bandido policial comete um crime individualize as pessoas que cometem tais atos pq no brasil a pena nao pode passar da pessoa do condenado	0	0	0
24	2020 cada vez pior	0	0	0
18	tambem acho que nao deixa quieto	0	0	0
18	e o fim do mundo o pobre sai de casa de madrugada com sua gasolinazinha pega o onibus antes do sol nascer para fazer seu sequestrozinho na humildade e tocar o terror ameacando queinar todo mundo inclusive mulheres e criancas ai vem um policial mal intencionado e mata o coitado cade o s direitos humanos agora sao 882 abatidos pela policia mais um heroi anonimo brutalmente assassinado pela maquina do estado a vida deste individuo deveria ser pesquisada e retratada em um filme de preferencia com a direcao do wagner moura	-1	-1	-1
18	suposto k k k k ele salvou a vida de 22 pessoas inocentes tem e que comemorar mesmo	1	1	1
18	porque tinha chegado no ponto	0	0	0
24	ainda bem que meu tio e preto e veio da pobreza	0	0	0
21	isso mesmo roberto deixe o tempo levar sua tristeza embora ter chifres nao e o fim do mundo levanta chacoalha a poeira e bia que segue mas procure ajuda para tratar seu vicio em lamber botas isso nao e saudavel tome ivermectina vc sabe botas chao vermes 	0	0	0
18	parabens a policia do estado do rj show de bola a acao	1	1	1
23	nao tu e so um merdinha mesmo kkkkkkk	0	0	0
23	meu filho deixa de ser alienado	0	0	0
24	para de falar merda escovao de pica	0	0	0
24	hmm mas e isso aqui e o joao pedro a agatha criancas mortas pela policia policiais contra a legalizacao para tirarem a vida depois ou a vida so vale se for crianca branca	-1	-1	-1
20	navrepirtagem do estadao os policiais estavam em patrulha de rotina quando vieram disparos de varias direcoes e eles responderam voce no lugar deles faria o que	1	1	1
20	acho que ele usou defeitos ironicamente deveria ter posto aspas	0	0	0
25	tas fumando crack e	0	0	0
24	nao e possivel que um policial nao saiba diferenciar uma crianca de um traficante seu babaca	-1	-1	-1
26	no cu vc nao quer tomar nao ne	0	0	0
23	se um dia precisar e so chamar	0	0	0
22	ajudar mais um pouco	0	0	0
21	uma atuacao vergonhosa da policia	-1	-1	-1
23	bota no meio do teu cu filho de uma puta	0	0	0
18	minha pergunta  o sequestrador liberou 6 refens estava com arma de brinquedo nao seria possivel so imobilizar mesmo com o tiro em uma parte do corpo que desse oportunidade dos policiais que estavam proximo chegarem ate ele ao inves de matar o que o levou a isso policiais que negociavam disseram que ele estava desorientado refens que falava em depressa seria um pai de familia desempregado muitas perguntas a minha e essa nao ha outra maneira de imobilizar ao inves de matar	-1	-1	1
22	vc sabia onde ele estava	0	0	0
25	militares julgando militaresesperar oq imparcialidade justica	-1	-1	-1
18	pooooooorraaa hahahah como eu amo esse tom ironico acido	0	0	0
20	porque a menina brutalmente assassinada e negra e da favela	-1	-1	-1
18	pronto resolvido simples assim o proximo vai pensar duas vezes	1	1	1
23	vc pediu desculpa da sua fake lembra	0	0	0
